id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7087327,Historic DC Condo-Walk to Capitol!,15830506,Lize & Greg,,"Capitol Hill, Lincoln Park",38.89004639,-77.0028081,Entire home/apt,160,1,0,,,18,283
975833,Spacious Capitol Hill Townhouse,5338703,Sebastian,,"Capitol Hill, Lincoln Park",38.88041282,-76.99048487,Entire home/apt,350,2,65,9/28/15,2.11,1,343
8249488,Spacious/private room for single,1487418,Craig,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95529092,-76.98600574,Private room,50,2,1,9/10/15,1,1,60
8409022,A wonderful bedroom with library,16970249,Christopher,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87213388,-77.01963879,Private room,95,1,0,,,1,365
8411173,Downtown Silver Spring,30369828,Joshua,,"Colonial Village, Shepherd Park, North Portal Estates",38.99638163,-77.04154101,Entire home/apt,50,7,0,,,1,351
8634774,Exclusive Catamaran Houseboat,951119,Todd,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.86248633,-77.01506201,Entire home/apt,99,1,0,,,1,361
8498095,"Cozy DC Condo, Close to Metro!",4628,Michelle,,"Takoma, Brightwood, Manor Park",38.97473766,-77.02707576,Entire home/apt,100,3,0,,,1,21
8513660,Warm and Cozy 1 Bedroom Apt,3671500,Shahrzad,,"Woodridge, Fort Lincoln, Gateway",38.94148563,-76.96848475,Entire home/apt,100,1,0,,,1,365
8298145,Private room for rent,5159038,Qianwen,,"Capitol View, Marshall Heights, Benning Heights",38.88010496,-76.91903054,Private room,38,2,1,9/15/15,1,1,360
295345,Elite Room w/private bath Eden Park,347309,Eden Park,,"Takoma, Brightwood, Manor Park",38.97559245,-77.01071326,Private room,71,2,4,5/25/15,0.33,2,352
1745866,"Takoma Comfort, DC Convenience",9188872,Danielle,,"Takoma, Brightwood, Manor Park",38.98006671,-77.0155379,Entire home/apt,97,4,5,8/3/14,0.22,1,3
7678268,Great Penthouse View! Metro in 7min,21704152,Matt,,"Colonial Village, Shepherd Park, North Portal Estates",38.99593775,-77.03614117,Entire home/apt,55,3,1,9/28/15,1,1,0
8457865,Sunny & Conveniently Located!,44519208,Angeli,,"Colonial Village, Shepherd Park, North Portal Estates",38.99204996,-77.04652369,Private room,50,2,0,,,1,365
6757134,Beautiful Private High-Rise Apt,3736766,Anne,,"Colonial Village, Shepherd Park, North Portal Estates",38.99022645,-77.02981677,Entire home/apt,99,7,0,,,1,339
295346,Renaissance Rm shared bath Eden PK,347309,Eden Park,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.97553592,-77.00896192,Private room,60,2,2,5/20/15,0.43,2,361
8479636,Cozy private second floor,44659281,Aaron,,"Woodridge, Fort Lincoln, Gateway",38.94070885,-76.96570499,Private room,52,1,1,9/27/15,1,1,359
2310297,Cheap room near Fort Totten Metro,11798122,Michael,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96183848,-76.99393298,Private room,23,1,1,10/1/15,1,1,333
6556520,"Near Washington,DC",34290236,Ayesha,,"Colonial Village, Shepherd Park, North Portal Estates",38.99203001,-77.03090637,Shared room,200,1,0,,,1,363
8519782,Sweet basement suite apartment,4218349,Paul Joseph,,"North Michigan Park, Michigan Park, University Heights",38.94441967,-76.9680864,Entire home/apt,40,1,0,,,1,0
8606980,Etta Mae Inn B&B - The Kiera room,45276150,Francoise,,"Takoma, Brightwood, Manor Park",38.9839417,-77.01972979,Private room,135,1,0,,,2,365
8485995,All the comfort you need.,44546458,Afam,,"North Michigan Park, Michigan Park, University Heights",38.94550838,-76.97051506,Entire home/apt,100,1,0,,,1,365
8607216,Etta Mae Inn B&B - The Phoenix room,45276150,Francoise,,"Takoma, Brightwood, Manor Park",38.9841984,-77.01999601,Private room,225,1,0,,,2,365
8568945,Sunny Cape Cod minutes from DC,2245859,Narae,,"Takoma, Brightwood, Manor Park",38.98289926,-77.01764883,Entire home/apt,129,14,0,,,1,120
333613,CHIC DC URBAN RETREAT,966914,Annie,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.9287606,-77.04808778,Entire home/apt,149,3,46,10/1/15,1.06,1,18
1026034,Perfect studio in VERY central DC,2070536,Joel,,"Shaw, Logan Circle",38.90901842,-77.03317774,Entire home/apt,150,2,84,9/30/15,2.91,2,351
2486785,"Logan Circle Loft 1bedroom, 1.5bath",12725500,Mayrose,,"Shaw, Logan Circle",38.90683107,-77.02987558,Entire home/apt,175,1,25,8/1/15,1.38,1,361
1822257,Updated 2BD Rowhome Steps to Metro,9540128,Matt,,"Shaw, Logan Circle",38.91285513,-77.02218393,Entire home/apt,239,5,4,8/8/14,0.18,1,345
5220279,Cozy Apt in the Heart of Hipsterdom,22207701,Trevor,,"Shaw, Logan Circle",38.90602533,-77.02140581,Private room,65,2,2,8/28/15,1.15,1,63
3419118,Beautiful room in amazing location!,12772446,Helen,,"Shaw, Logan Circle",38.90836544,-77.02282043,Private room,71,2,83,9/25/15,5.4,1,319
805961,Clean Studio - Next to Conv Center!,4240274,Charlie,,"Shaw, Logan Circle",38.90823242,-77.02509194,Entire home/apt,80,1,19,9/27/15,7.4,3,123
3362,Rowhouse,2798,Ayeh,,"Shaw, Logan Circle",38.91046091,-77.01933068,Private room,250,1,94,6/12/15,1.15,3,340
93551,Upscale Master Close to Everything,481929,Chris,,"Shaw, Logan Circle",38.9123512,-77.0187326,Private room,138,1,47,9/17/15,0.87,4,365
68962,Sunny Bedroom with En Suite Bath,343320,Helen & Journey,,"Shaw, Logan Circle",38.91042775,-77.02061907,Private room,94,2,150,9/29/15,2.7,1,308
3469191,2BR/2.5BTH PH Loft featured on HGTV,1640384,Christopher,,"Shaw, Logan Circle",38.90797863,-77.01899723,Entire home/apt,283,3,15,7/20/15,1.06,1,297
6778286,Sunny 1-Bed Apt White House / Logan,25534764,,,"Shaw, Logan Circle",38.90575583,-77.02955147,Entire home/apt,127,3,0,,,1,0
495042,CONVENTION CENTER METRO STATION #2,871824,Tony,,"Shaw, Logan Circle",38.90851208,-77.02558253,Private room,79,1,69,9/16/15,1.69,2,349
7220873,Charming Garden Level Apartment,32791385,Elgeo,,"Shaw, Logan Circle",38.91358762,-77.02563638,Entire home/apt,110,1,1,8/3/15,0.48,1,62
7524042,6 Mixed,37920286,Capitol Comfort,,"Shaw, Logan Circle",38.91107388,-77.02320663,Shared room,38,1,2,9/4/15,1.62,3,363
5990979,"Dupont Circle, 14th ST Unbeatable!",8008783,Cliff,,"Shaw, Logan Circle",38.91285095,-77.03385691,Entire home/apt,480,3,5,9/29/15,0.99,27,325
1086168,2bd/2ba A+ Logan Circle Penthouse,5750063,Alex,,"Shaw, Logan Circle",38.90950939,-77.0326777,Entire home/apt,372,3,33,9/18/15,1.36,1,326
6688513,One Bedroom Apt. in heart of Shaw,25197983,Nya,,"Shaw, Logan Circle",38.91035119,-77.02361655,Entire home/apt,125,1,11,9/24/15,3.55,1,57
3890477,Cozy Master Bedroom @ Logan Circle,647625,Ehsan,,"Shaw, Logan Circle",38.90760295,-77.02877664,Private room,89,1,3,8/29/15,0.64,1,161
6262632,Modern apartment in the heart of DC,22586098,Luisa,,"Shaw, Logan Circle",38.90990321,-77.02164964,Shared room,80,1,5,7/5/15,1.01,2,360
1519460,"Convention Center, Sleeps 5 ",8008783,Cliff,,"Shaw, Logan Circle",38.90633377,-77.02626349,Entire home/apt,90,3,29,9/16/15,1.17,27,313
5173258,M St Apt C,6059772,Jon,,"Shaw, Logan Circle",38.90712189,-77.0190373,Entire home/apt,110,2,32,9/21/15,4.34,4,345
3985441,Logan Circle Bright & Beautiful Apt,20655478,Elizabeth,,"Shaw, Logan Circle",38.91206899,-77.02654477,Entire home/apt,100,3,1,9/25/15,1,1,0
5089898,Gorgeous + Location 2BR/2BA,14039163,Patrick,,"Shaw, Logan Circle",38.90988182,-77.03371969,Entire home/apt,250,1,15,9/21/15,2.31,1,41
7150515,Large Room in Renovated House,2755315,Chito,,"Congress Heights, Bellevue, Washington Highlands",38.84693412,-76.99929432,Private room,55,1,0,,,5,364
7132107,Rustic Beauty in SE DC,2755315,Chito,,"Congress Heights, Bellevue, Washington Highlands",38.84724289,-76.99915559,Private room,55,1,5,9/12/15,2.73,5,362
813573,Inauguration 2013 | $400/nt | SW DC,4275311,Danielle,,"Congress Heights, Bellevue, Washington Highlands",38.82805248,-77.01045127,Entire home/apt,400,2,0,,,1,365
8473096,Comfy Futon in Private Room,2755315,Chito,,"Congress Heights, Bellevue, Washington Highlands",38.84824335,-76.99924952,Private room,35,1,0,,,5,360
2117627,DC house with feel of the suburbs,1299708,Wade,,"Congress Heights, Bellevue, Washington Highlands",38.82722274,-77.00919578,Entire home/apt,160,2,5,6/19/15,0.75,1,0
7254795,Clean convenient 2 BR with parking!,37984671,Nardyne,,"Congress Heights, Bellevue, Washington Highlands",38.82871929,-77.00783414,Entire home/apt,130,2,1,7/30/15,0.45,2,346
8567059,Quiet Single Room - Smoke Free Home,12745759,Donnice,,"Congress Heights, Bellevue, Washington Highlands",38.82636204,-76.99786671,Private room,50,1,0,,,1,194
5912004,Freshness - Affordable DC Living,30275290,Darryl,,"Congress Heights, Bellevue, Washington Highlands",38.83454145,-77.00560653,Private room,150,1,0,,,1,365
2940776,Garden Paradise in Southeast DC,10855700,Nathan,,"Congress Heights, Bellevue, Washington Highlands",38.84306384,-76.99158707,Private room,40,1,9,9/17/15,0.53,1,267
8519673,Private Room in Spacious Basement,2755315,Chito,,"Congress Heights, Bellevue, Washington Highlands",38.8468335,-76.99945653,Private room,45,1,0,,,5,354
8552222,Clean convenient BR with parking!,37984671,Nardyne,,"Congress Heights, Bellevue, Washington Highlands",38.82775661,-77.0083268,Private room,55,2,0,,,2,345
4694155,Cozy Southeast Getaway,24266762,Saud,,"Congress Heights, Bellevue, Washington Highlands",38.82506052,-76.9987406,Entire home/apt,200,1,1,1/1/15,0.11,1,365
4286181,Private BR Shared Bath Sunny TH,3517743,Kanita,,"Douglas, Shipley Terrace",38.85081344,-76.98011142,Private room,65,1,4,8/18/15,0.71,2,296
2523708,Night Sky room next to metro,7042945,RoDeece,,"Douglas, Shipley Terrace",38.84081712,-76.97797504,Private room,94,1,18,8/22/15,0.99,3,361
861775,Private BR Shared Bath Sunny TH,3517743,Kanita,,"Douglas, Shipley Terrace",38.84872746,-76.97871483,Private room,65,1,2,8/11/15,0.31,2,336
2517969,Sports themed room next to metro,7042945,RoDeece,,"Douglas, Shipley Terrace",38.8421504,-76.97633323,Private room,64,1,115,9/21/15,6.1,3,336
7368860,Close to Navy Yard and Capitol Hill,35672131,Lee,,"Douglas, Shipley Terrace",38.84981227,-76.98289296,Private room,59,1,18,9/22/15,9.31,1,353
403647,HELLO!,1967019,Lexus,,"Douglas, Shipley Terrace",38.84921846,-76.97884192,Private room,125,1,0,,,1,365
1875603,Safari themed room next to metro,7042945,RoDeece,,"Douglas, Shipley Terrace",38.8422292,-76.97641703,Private room,74,1,33,8/31/15,1.48,3,336
6133697,"Room close to Bus, Metro & Shopping",31818247,Nell ( & Noel),,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85328293,-76.96826673,Private room,69,1,8,8/2/15,2.7,2,353
8523150,English Basement & Bath,2755315,Chito,,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.8576089,-76.97440904,Private room,49,1,1,9/24/15,1,5,356
8172001,Great Condo! Private Bedroom & Bath,43128240,Brandon,,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85908304,-76.9694999,Private room,60,1,0,,,1,364
7582828,Affordable & private near to Subway,31818247,Nell ( & Noel),,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85137656,-76.97083697,Private room,69,1,19,9/29/15,9.5,2,348
5375538,"Steps to Metro, food & DC fun!",27799880,Jennifer,,"Near Southeast, Navy Yard",38.87721086,-77.00368744,Entire home/apt,157,2,3,9/5/15,1.73,1,324
6564932,"Location, Cozy and Convenient!",33811658,Subrena,,"Near Southeast, Navy Yard",38.87995989,-77.00649063,Entire home/apt,128,1,9,9/18/15,2.25,1,301
3504621,Cozy Apt w/ Views of the Monument!,112193,Jayne,,"Near Southeast, Navy Yard",38.8770983,-77.00458358,Entire home/apt,135,6,6,8/17/15,0.44,1,138
2237591,"Private room, Navy Yard area",487346,Jack,,"Near Southeast, Navy Yard",38.87961619,-77.00434209,Private room,90,2,6,9/12/15,0.36,1,327
4468217,DC's Capitol Hill/Waterfront 1BD,23182731,M. Reese,,"Near Southeast, Navy Yard",38.87834062,-77.00073849,Entire home/apt,102,5,6,8/8/15,0.61,1,335
8089814,1 BR in Amenities Bldg - Nats Park!,42721155,Seth,,"Near Southeast, Navy Yard",38.87837493,-77.00800168,Entire home/apt,99,1,0,,,1,22
5759630,Navy Yard apt with Capitol view,26806034,Darik,,"Near Southeast, Navy Yard",38.87653674,-77.00623635,Entire home/apt,195,1,1,4/25/15,0.19,1,167
321642,Eastern Market english basement,1632216,Louisa,,"Near Southeast, Navy Yard",38.88032417,-77.0019617,Entire home/apt,160,1,59,9/18/15,1.44,1,347
7219322,Navy Yard/ Capitol Hill Luxury Apt,33664909,Audrey,,"Near Southeast, Navy Yard",38.88008663,-77.00731287,Private room,95,1,1,8/2/15,0.48,2,287
7973221,Capitol Hill | Navy Yrd Luxury Apt,42060546,Amy,,"Near Southeast, Navy Yard",38.87861844,-77.00598247,Entire home/apt,120,1,0,,,1,294
8191407,Nats Capitol Navy Yd SE Water DOT!!,1730491,Renny,,"Near Southeast, Navy Yard",38.87584046,-76.99908601,Entire home/apt,249,2,0,,,1,150
7860122,1BR/BA in DC w/View of Capitol,41426628,Leslie,,"Near Southeast, Navy Yard",38.88045027,-77.00651487,Entire home/apt,88,3,1,9/23/15,1,1,25
7973954,1 Room between Navyyard & Capitol,42082413,Zachary,,"Near Southeast, Navy Yard",38.87869082,-77.00537827,Private room,90,1,2,9/14/15,2,1,0
8503615,Brand New 1 Bedroom w/ Living Room,44777359,Candice,,"Near Southeast, Navy Yard",38.87744971,-77.00571269,Entire home/apt,150,1,0,,,1,325
8606829,Master Suite in Navy Yard,31824228,Rachel,,"Near Southeast, Navy Yard",38.87491191,-77.00884499,Private room,125,1,0,,,3,30
374043,Capitol Hill Row-House w/ Priv Bath,473055,Kathleen,,"Near Southeast, Navy Yard",38.87923329,-76.99764143,Private room,85,3,145,9/15/15,3.46,1,344
4251323,MLB Playoff Apartment,6277558,Sam,,"Near Southeast, Navy Yard",38.88045961,-77.0080082,Entire home/apt,400,1,0,,,1,340
4430318,Stunning Penthouse Loft Guestroom ,173592,Stewart,,"Near Southeast, Navy Yard",38.87407493,-77.0023063,Private room,120,2,8,9/21/15,0.74,1,364
454026, Historic E.Capitol 4 Bedroom house,553227,Tunde   Sunny,,"River Terrace, Benning, Greenway, Dupont Park",38.8911998,-76.95067899,Entire home/apt,215,2,29,8/23/15,0.71,3,343
6448095,"""Kozy Kot""",33666214,Kris,,"River Terrace, Benning, Greenway, Dupont Park",38.88746476,-76.95571354,Private room,90,2,0,,,1,363
4597473,Large Sunny 1 bedroom near the Hill,18896296,Laura,,"River Terrace, Benning, Greenway, Dupont Park",38.89138686,-76.94886141,Private room,50,2,23,9/28/15,5.7,1,324
5023531,Comfortable studio with dinosaur.,25923956,Tiffany,,"River Terrace, Benning, Greenway, Dupont Park",38.89209068,-76.95031429,Private room,100,1,12,7/29/15,1.88,1,336
7769625,Suburban living in the city!,40867137,Lacey,,"River Terrace, Benning, Greenway, Dupont Park",38.87302035,-76.93891775,Entire home/apt,65,1,0,,,1,29
7826994,Great price for DC room,38683977,Shaun,,"River Terrace, Benning, Greenway, Dupont Park",38.89362812,-76.95924839,Private room,55,2,4,9/18/15,2.73,2,356
792578,Lovely Comfortable Home near Metro,4027780,Leonard,,"River Terrace, Benning, Greenway, Dupont Park",38.88336419,-76.95062953,Entire home/apt,129,1,58,9/27/15,1.86,1,173
7384867,"Cozy, quiet, clean DC room",38683977,Shaun,,"River Terrace, Benning, Greenway, Dupont Park",38.89197311,-76.96042875,Private room,45,1,4,9/22/15,2.22,2,275
212586,[1375-2/1]2BR 1Block to White House,25188,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90105595,-77.03415786,Entire home/apt,299,3,34,9/28/15,0.69,5,159
786804,[1375-2B]1 Block to White House,25188,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90095092,-77.03297298,Entire home/apt,309,4,8,8/2/15,1.34,5,356
8595649,Boat show Annapolis sleeps 6,26600674,Christian,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89455911,-77.01421941,Entire home/apt,375,1,0,,,1,365
4729118,Downtown - 2 BR / 2 BA with Parking,24421384,James,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90125875,-77.01451525,Entire home/apt,180,7,48,9/21/15,6.13,2,308
2790026,Walk to the White House - Thomas Cr,6293099,Omari,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90553359,-77.03355048,Entire home/apt,149,3,32,9/13/15,1.86,1,334
5844616,Lux 2BR Apt near Convention Center ,9419684,Mike,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90045936,-77.02641873,Entire home/apt,337,3,6,9/1/15,1.07,19,42
96259,Lux 2BR - Near Covention Center,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90107449,-77.01924635,Entire home/apt,299,3,7,8/12/15,0.19,5,360
23378,[1396] 1 BR at Newseum Residences,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89371298,-77.01877537,Entire home/apt,249,4,6,5/16/15,0.11,5,365
5405828,Rooftop Studio & DC 360 view,657541,Kathy,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90010512,-77.01525407,Entire home/apt,126,2,5,9/23/15,0.94,1,326
8167267,Luxury downtown condo,43105892,Renee,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.901897,-77.02814153,Private room,99,1,1,9/24/15,1,1,13
4808149,2 Bedroom  - Near Convention Center,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90089161,-77.01954766,Entire home/apt,299,3,2,5/18/15,0.3,5,365
924888,"[1038]1BR At 460 L Street, Penn Q",25188,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90285281,-77.0189909,Entire home/apt,199,7,1,6/27/15,0.3,5,89
4659838,1 Bed Room Apt - Next to Capitol,24113696,Raina,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89580043,-77.01152205,Shared room,89,1,1,12/25/14,0.11,1,275
8664363,Studio apartment in chinatown,45520618,Sasha,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89835142,-77.02201071,Entire home/apt,165,1,0,,,1,365
786693,[1396-2/3]2BR at Newseum Residences,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89423151,-77.01865832,Entire home/apt,309,4,1,10/19/14,0.09,5,365
8133514,Luxury Studio in Heart of DC,42951051,James,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89866949,-77.01474773,Entire home/apt,115,1,0,,,1,305
1304225,Sunny Studio in the Heart of DC,2061860,Ioanna,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90285224,-77.02231745,Entire home/apt,130,1,85,9/25/15,3.36,1,21
7637938,Spacious 1BR apt in heart of DC!,40073825,Nikki,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90049015,-77.01566757,Private room,95,1,0,,,1,337
6744470,Luxuary apt in downtown DC,14859498,SueJung,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90154862,-77.01226564,Shared room,50,2,6,9/15/15,3,1,89
5869529,Lux Furnished 1BR Newseum Apt.,30283594,Kara,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89407341,-77.01946295,Entire home/apt,569,3,0,,,16,90
3672217,Luxury Sublet in Great Location,2794295,Humaira,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89904091,-77.01668928,Private room,55,20,0,,,1,365
7596192,Spl. Price Budget bed Union Station,39767027,Piyali,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90585558,-77.0122052,Shared room,49,1,3,9/21/15,1.8,3,280
6900870,Airy Loft In Downtown!,37014,Lara & Alex,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9051221,-77.02711971,Entire home/apt,250,3,4,9/18/15,1.67,22,350
36943,[1701] Brand New Loft Apt-U St Corr,25188,Seamless,,"Shaw, Logan Circle",38.91350858,-77.01883911,Entire home/apt,198,7,0,,,5,365
1839589,Lux 2BR Newseum Apt on the Mall,9419684,Mike,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89388717,-77.01881191,Entire home/apt,311,3,3,5/17/15,0.26,19,45
2115864,"Chinatown studio, amazing location",2928498,Daniel,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89933372,-77.0164596,Entire home/apt,95,2,35,9/29/15,1.64,1,49
7825726,Spacious room by Convention Center,60683,Akaysha,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90405978,-77.01706374,Shared room,59,1,1,8/20/15,0.67,1,346
3172888,Best Location Luxury 1 BR,16090942,William,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89538942,-77.02054559,Entire home/apt,167,5,31,8/27/15,2.02,1,343
6106389,Capitol City Chinatown Getaway,2588970,Alex,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90509797,-77.0167189,Entire home/apt,165,1,0,,,1,138
2477325,Master bedroom in NW DC,11559071,Alex,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9056829,-77.01202827,Private room,104,2,11,9/20/15,0.58,4,344
805490,Awesome Location! -- Clean Studio,4240274,Charlie,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90492917,-77.0263579,Entire home/apt,99,1,169,10/1/15,4.93,3,58
4811421,Washington Suite,24689607,Garo,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89895269,-77.0149355,Entire home/apt,159,1,0,,,2,360
6430122,Downtown Luxury Furnished Studio,33431046,Greg,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90388849,-77.01749486,Entire home/apt,190,3,13,9/24/15,3.82,1,129
4044606,Lux 1BR Apt near Logan Circle,9419684,Mike,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90491061,-77.02989687,Entire home/apt,246,3,0,,,19,57
6376317,Luxury Apt In Heart of DC,2903010,Shiva,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90531249,-77.02209897,Entire home/apt,200,2,14,9/30/15,3,1,305
1584147,Comfortable Modern Downtown Condo,3136596,Jay,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90077204,-77.0246774,Entire home/apt,215,1,34,9/17/15,1.37,1,353
8514469,Luxury- Right in the heart of DC,44834480,Vicki,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90120829,-77.01633753,Entire home/apt,450,1,0,,,1,365
7572512,Luxury 1 BR Suite Near Logan Circle,30283594,Kara,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90500013,-77.02923984,Entire home/apt,234,3,0,,,16,365
2477330,Cool bedroom: most cntrl part of DC,11559071,Alex,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90416965,-77.01281494,Private room,110,2,33,9/21/15,1.72,4,345
7916003,Luxury Corporate Apartment in NW DC,41740449,Cathleen,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90426222,-77.01009846,Entire home/apt,225,3,0,,,1,335
216398,[1396-1/2] 1BR - Newseum Residences,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89283202,-77.01899905,Entire home/apt,249,4,4,3/12/15,0.08,5,365
7114075,"Cozy, clean and convenient condo",4475279,Ehsan,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90539031,-77.02932422,Entire home/apt,109,1,0,,,1,60
7258774,2 Bed/2bath Apt. in Downtown DC,20335354,Pedro,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90157468,-77.01577666,Entire home/apt,250,3,1,8/3/15,0.48,1,53
3961511,Large/Comfy 1-BR Loft near Capitol ,2907753,Javier,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90150258,-77.01459088,Entire home/apt,135,2,2,9/27/14,0.15,1,182
5353107,Comfortable Home Howard Homecoming,27746397,Kathryn,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90415166,-77.01505902,Private room,87,2,2,9/8/15,0.67,1,357
536232,"""The Executive"" Flat - DC - 442",611958,Bryan,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.8973664,-77.01793376,Entire home/apt,210,1,103,9/18/15,2.59,5,343
3477770,Spacious Home in Downtown DC,4897930,Daniel,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90547366,-77.02053108,Entire home/apt,300,3,5,9/18/15,2.34,2,299
5411135,[1396-S]Studio At Newseum ,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89304843,-77.0201591,Entire home/apt,189,4,0,,,5,343
4772168,Private Room/Bath Near Convention ,24615645,Chelsea,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90481354,-77.02584423,Private room,120,1,0,,,1,273
7474964,3 blocks to Convention Ctr DC,19904035,Nesh,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90453668,-77.01622818,Entire home/apt,200,1,1,8/16/15,0.61,1,285
